City,State, Median Sale Price 
CANTON,GA,"$266,083.33 "
KIRKLAND,WA,"$749,675.00 "
WALDORF,MD,"$274,066.67 "
STAFFORD,VA,"$336,318.18 "
MANTECA,CA,"$403,216.67 "
CAMARILLO,CA,"$599,650.00 "
FARMINGTON HILLS,MI,"$240,575.00 "
DALTON,GA,"$127,116.67 "
SLIDELL,LA,"$154,725.00 "
APPLE VALLEY,CA,"$242,608.33 "
OVIEDO,FL,"$295,850.00 "
SMYRNA,GA,"$277,075.00 "
ARLINGTON HEIGHTS,IL,"$307,250.00 "
LAKEWOOD,CA,"$572,208.33 "
MOUNT PLEASANT,SC,"$429,050.00 "
PARMA,OH,"$115,008.33 "
COVINA,CA,"$525,366.67 "
GREER,SC,"$200,616.67 "
SAINT JOSEPH,MO,"$112,933.33 "
UPLAND,CA,"$543,680.00 "
DELTONA,FL,"$160,808.33 "
LEXINGTON,NC,"$135,691.67 "
CARSON,CA,"$515,891.67 "
SIMPSONVILLE,SC,"$236,000.00 "
HOOVER,AL,"$274,933.33 "
VALPARAISO,IN,"$201,691.67 "
LANCASTER,PA,"$125,958.33 "
PORTERVILLE,CA,"$195,400.00 "
BROOKLYN PARK,MN,"$236,775.00 "
MOUNTAIN VIEW,CA,"$1,649,625.00 "
LAWRENCE,MA,"$252,166.67 "
COLONIE,NY,"$245,683.33 "
PLANT CITY,FL,"$179,908.33 "
MARYVILLE,TN,"$179,208.33 "
SOMERVILLE,MA,"$694,525.00 "
MISSOURI CITY,TX,"$215,683.33 "
DENHAM SPRINGS,LA,"$163,608.33 "
ROME,GA,"$120,233.33 "
PASCO,WA,"$236,183.33 "
NORCROSS,GA,"$165,608.33 "
LODI,CA,"$331,791.67 "
CASA GRANDE,AZ,"$168,450.00 "
TOMBALL,TX,"$221,900.00 "
RANCHO CORDOVA,CA,"$368,825.00 "
SHELBY,MI,"$236,358.33 "
BALDWIN PARK,CA,"$443,308.33 "
SPRING VALLEY,CA,"$451,766.67 "
SAN RAMON,CA,"$978,491.67 "
DEERFIELD BEACH,FL,"$160,358.33 "
SALISBURY,NC,"$135,700.00 "
RACINE,WI,"$113,783.33 "
MARYSVILLE,WA,"$359,683.33 "
SCHENECTADY,NY,"$107,091.67 "
AVONDALE,AZ,"$212,508.33 "
REDLANDS,CA,"$410,633.33 "
NOBLESVILLE,IN,"$207,291.67 "
TEMPLE,TX,"$155,158.33 "
FOLSOM,CA,"$527,433.33 "
PLYMOUTH,MN,"$331,500.00 "
BETHLEHEM,PA,"$156,075.00 "
HUNTINGTON PARK,CA,"$406,888.89 "
CHEEKTOWAGA,NY,"$122,675.00 "
SNELLVILLE,GA,"$187,566.67 "
BREMERTON,WA,"$283,116.67 "
KENDALL,FL,"$290,150.00 "
PETALUMA,CA,"$706,100.00 "
ALPHARETTA,GA,"$356,375.00 "
ATASCOCITA,TX,"$208,841.67 "
LA MESA,CA,"$528,333.33 "
LAKE FOREST,CA,"$701,358.33 "
NEW ROCHELLE,NY,"$664,258.33 "
WAIPAHU,HI,"$553,866.67 "
PALM HARBOR,FL,"$245,133.33 "
WINTER PARK,FL,"$271,508.33 "
ROCHESTER HILLS,MI,"$278,916.67 "
MILPITAS,CA,"$1,037,975.00 "
DOTHAN,AL,"$137,641.67 "
NEW BRITAIN,CT,"$143,666.67 "
GOODYEAR,AZ,"$252,658.33 "
NORTH LITTLE ROCK,AR,"$113,341.67 "
ROGERS,AR,"$189,558.33 "
SOUTHFIELD,MI,"$138,258.33 "
MOORESVILLE,NC,"$272,475.00 "
SPRINGDALE,AR,"$167,233.33 "
WINCHESTER,VA,"$240,041.67 "
CHINO HILLS,CA,"$656,958.33 "
BRICK,NJ,"$241,608.33 "
LAKE ELSINORE,CA,"$360,158.33 "
SUWANEE,GA,"$320,058.33 "
BOSSIER CITY,LA,"$175,575.00 "
GREAT FALLS,MT,"$196,183.33 "
ORANGE PARK,FL,"$161,833.33 "
GLEN ALLEN,VA,"$311,725.00 "
GASTONIA,NC,"$144,666.67 "
FLOWER MOUND,TX,"$389,450.00 "
WATERFORD,MI,"$160,183.33 "
GAITHERSBURG,MD,"$377,800.00 "
WEST LAFAYETTE,IN,"$201,725.00 "
YUBA CITY,CA,"$286,550.00 "
LAUDERHILL,FL,"$95,575.00 "
YORBA LINDA,CA,"$814,225.00 "
FORT MILL,SC,"$291,166.67 "
PORT CHARLOTTE,FL,"$168,325.00 "
LAYTON,UT,"$295,841.67 "
REDONDO BEACH,CA,"$1,045,550.00 "
STATESVILLE,NC,"$142,133.33 "
FRAMINGHAM,MA,"$397,458.33 "
LYNWOOD,CA,"$415,980.00 "
UNION CITY,CA,"$880,736.36 "
DAVIS,CA,"$653,016.67 "
BOLINGBROOK,IL,"$209,350.00 "
YPSILANTI,MI,"$213,050.00 "
WATERLOO,IA,"$110,375.00 "
PALM BEACH GARDENS,FL,"$345,041.67 "
ALAMEDA,CA,"$918,791.67 "
BRENTWOOD,CA,"$579,240.00 "
HANFORD,CA,"$229,363.64 "
JUPITER,FL,"$356,666.67 "
VENICE,FL,"$240,408.33 "
COCOA,FL,"$159,550.00 "
PALO ALTO,CA,"$2,772,958.33 "
SALISBURY,MD,"$141,758.33 "
MOUNT VERNON,NY,"$443,300.00 "
MILTON,FL,"$157,983.33 "
CEDAR PARK,TX,"$291,675.00 "
WESTON,FL,"$420,766.67 "
GRANTS PASS,OR,"$274,141.67 "
KENNER,LA,"$173,525.00 "
MAPLE GROVE,MN,"$280,616.67 "
STOCKBRIDGE,GA,"$147,050.00 "
DAYTONA BEACH,FL,"$140,916.67 "
PUNTA GORDA,FL,"$228,883.33 "
WOODBURY,MN,"$297,966.67 "
LAKEWOOD,WA,"$288,325.00 "
CORVALLIS,OR,"$362,883.33 "
THE VILLAGES,FL,"$254,966.67 "
ROCKVILLE,MD,"$482,275.00 "
WEST BLOOMFIELD,MI,"$281,550.00 "
NORTH PORT,FL,"$194,366.67 "
EAGAN,MN,"$266,566.67 "
SAN LUIS OBISPO,CA,"$672,416.67 "
BOZEMAN,MT,"$406,633.33 "
YOUNGSTOWN,OH,"$30,158.33 "
NORTH RICHLAND HILLS,TX,"$240,975.00 "
HICKORY,NC,"$157,391.67 "
OLD BRIDGE,NJ,"$305,258.33 "
BRUNSWICK,GA,"$144,125.00 "
HOT SPRINGS,AR,"$141,116.67 "
MADISON,AL,"$203,891.67 "
EWA BEACH,HI,"$619,875.00 "
WESTERVILLE,OH,"$283,108.33 "
FAYETTEVILLE,GA,"$221,616.67 "
PICO RIVERA,CA,"$470,700.00 "
MIDLAND,MI,"$138,833.33 "
HENDERSONVILLE,TN,"$279,391.67 "
CHARLESTON,WV,"$146,166.67 "
LAKEVILLE,MN,"$333,033.33 "
WESLEY CHAPEL,FL,"$233,641.67 "
CALDWELL,ID,"$191,866.67 "
MASSILLON,OH,"$120,750.00 "
FOUNTAINBLEAU,FL,"$179,175.00 "
VALRICO,FL,"$242,975.00 "
LAGUNA NIGUEL,CA,"$794,891.67 "
ROSEMEAD,CA,"$585,525.00 "
SOUTH SAN FRANCISCO,CA,"$978,383.33 "
LA CROSSE,WI,"$148,475.00 "
WEST HARTFORD,CT,"$296,216.67 "
SAN GABRIEL,CA,"$752,983.33 "
MEDINA,OH,"$206,533.33 "
POWDER SPRINGS,GA,"$195,366.67 "
FAIRBANKS,AK,"$238,766.67 "
RESTON,VA,"$423,458.33 "
YUKON,OK,"$160,216.67 "
TAMARAC,FL,"$178,733.33 "
SHAWNEE,KS,"$257,216.67 "
WAUKESHA,WI,"$206,483.33 "
SNOHOMISH,WA,"$546,241.67 "
CARSON CITY,NV,"$302,425.00 "
ELYRIA,OH,"$97,525.00 "
MONTEBELLO,CA,"$508,625.00 "
NORTH BERGEN,NJ,"$359,508.33 "
SAINT CLOUD,MN,"$146,675.00 "
WOODLAND,CA,"$389,125.00 "
FLORENCE,AL,"$128,000.00 "
EDEN PRAIRIE,MN,"$322,766.67 "
MANSFIELD,TX,"$270,541.67 "
WELLINGTON,FL,"$376,200.00 "
NOVATO,CA,"$850,133.33 "
FLORENCE-GRAHAM,CA,"$365,658.33 "
WALTHAM,MA,"$550,333.33 "
EASLEY,SC,"$168,066.67 "
BROOMFIELD,CO,"$417,550.00 "
NORTH MIAMI,FL,"$193,241.67 "
HAVERHILL,MA,"$274,725.00 "
COON RAPIDS,MN,"$222,233.33 "
DELAND,FL,"$181,516.67 "
ENCINITAS,CA,"$1,005,475.00 "
VALLEY STREAM,NY,"$462,908.33 "
TAYLOR,MI,"$93,208.33 "
BLAINE,MN,"$252,800.00 "
PASADENA,MD,"$289,208.33 "
PORT ORANGE,FL,"$213,166.67 "
SOUTH JORDAN,UT,"$396,283.33 "
HAMDEN,CT,"$187,475.00 "
